Тип товара интернет ;Вид светильника интернет ;"Шаблон ""Наименование"" - пример как может выглядеть" ;Функциональный вид - особенность web ;Тип монтажа/установки ;Единственное число для товара
Настольные лампы и ночники ;Ночники ;Ночник {$vendor} {$collection} {$article} ; ; ;Ночник
Точечные светильники ;Точечные встраиваемые светильники ;Точечный встраиваемый светильник {$vendor} {$collection} {$article} ; ; ;Точечный встраиваемый светильник
Точечные светильники ;Точечные накладные светильники ;Точечный накладной светильник {$vendor} {$collection} {$article} ; ; ;Точечный накладной светильник
Точечные светильники ;Точечные подвесные светильники ;Точечный подвесной светильник {$vendor} {$collection} {$article} ; ; ;Точечный подвесной светильник
Споты ;Споты с одним плафоном ;Спот с одним плафоном {$vendor} {$collection} {$article} ; ; ;Спот с одним плафоном
Споты ;Споты с двумя плафонами ;Спот с двумя плафонами {$vendor} {$collection} {$article} ; ; ;Спот с двумя плафонами
Споты ;Споты с тремя и более плафонами ;Спот с тремя и более плафонами {$vendor} {$collection} {$article} ; ; ;Спот с тремя и более плафонами
Торшеры ;Торшеры с одним плафоном ;Торшер с одним плафоном {$vendor} {$collection} {$article} ; ;напольные, подвесные ;Торшер с одним плафоном
Торшеры ;Торшеры с двумя и более плафонами ;Торшер с двумя и более плафонами {$vendor} {$collection} {$article} ; ; ;Торшер с двумя и более плафонами
Трековые системы ;Трековые светильники ;Трековый светильник {$vendor} {$collection} {$article} ;линейные, панельные, подвесные, споты, софиты ; ;Трековый светильник
Трековые системы ;Шинопроводы ;Шинопровод {$vendor} {$collection} {$article} ; ;встраиваемые, накладные, подвесные ;Шинопровод
Трековые системы ;Готовые трековые системы ;Готовая трековая система {$vendor} {$collection} {$article} ; ; ;Готовая трековая система
Трековые системы ;Комплектующие для трековых систем ;{$osobennost} {$vendor} {$collection} {$article} ;коннекторы, соединители, заглушки, подвесные комплекты, крепления, подводы питания, блоки питания, адаптеры, декоративные накладки ; ;{$osobennost}
Магнитные трековые системы ;Магнитные трековые светильники ;Магнитный трековый светильник {$vendor} {$collection} {$article} ;линейные, панельные, подвесные, споты, софиты ; ;Магнитный трековый светильник
Магнитные трековые системы ;Шинопроводы ;Шинопровод {$vendor} {$collection} {$article} ; ;встраиваемые, накладные, подвесные ;Шинопровод
Магнитные трековые системы ;Комплектующие для трековых систем ;{$osobennost} {$vendor} {$collection} {$article} ;коннекторы, соединители, заглушки, подвесные комплекты, крепления, подводы питания, блоки питания, адаптеры, декоративные накладки ; ;{$osobennost}
Подсветки ;Подсветки для картин ;Подсветка для картин {$vendor} {$collection} {$article} ; ; ;Подсветка для картин
Подсветки ;Подсветки для зеркал ;Подсветка для зеркал {$vendor} {$collection} {$article} ; ; ;Подсветка для зеркал
Подсветки ;Подсветки для лестниц ;Подсветка для лестниц {$vendor} {$collection} {$article} ; ; ;Подсветка для лестниц
Подсветки ;Декоративные подсветки ;Декоративная подсветка {$vendor} {$collection} {$article} ;с лучами, с отраженным светом ; ;Декоративная подсветка
Подсветки ;Мебельные светильники ;Мебельный светильник {$vendor} {$collection} {$article} ; ; ;Мебельный светильник
Специализированные светильники ;Светильники для растений ;Светильник для растений {$vendor} {$collection} {$article} ; ; ;Светильник для растений
Специализированные светильники ;Бактерицидные светильники ;Бактерицидный светильник {$vendor} {$collection} {$article} ; ; ;Бактерицидный светильник
Специализированные светильники ;Светильники с лупой ;Светильник с лупой {$vendor} {$collection} {$article} ; ; ;Светильник с лупой
Специализированные светильники ;Кольцевые лампы ;Кольцевая лампа {$vendor} {$collection} {$article} ; ; ;Кольцевая лампа
Специализированные светильники ;Соляные лампы ;Соляная лампа {$vendor} {$collection} {$article} ; ; ;Соляная лампа
Уличное освещение ;Фасадные светильники ;Фасадный светильник {$vendor} {$collection} {$article} ; ; ;Фасадный светильник
Уличное освещение ;Ландшафтные светильники ;Ландшафтный светильник {$vendor} {$collection} {$article} ;столбики, шары ; ;Ландшафтный светильник
Уличное освещение ;Парковые светильники ;Парковый светильник {$vendor} {$collection} {$article} ; ; ;Парковый светильник
